名称,基准,类型,保存值
点194,NA,Point,"5138.494,-76.518,23.657,0.006,-0.997,-0.073"
点195,NA,Point,"5070.338,-75.319,2.397,0.006,-0.997,-0.077"
点196,NA,Point,"4995.007,-73.760,-22.489,0.006,-0.997,-0.083"
点197,NA,Point,"5002.669,-77.180,21.861,0.006,-0.997,-0.073"
点198,NA,Point,"4840.641,-74.659,-22.793,0.006,-0.997,-0.083"
点199,NA,Point,"4858.540,-77.922,20.476,0.006,-0.997,-0.072"
点200,NA,Point,"4776.760,-76.987,1.565,0.006,-0.997,-0.077"
点201,NA,Point,"4709.684,-75.634,-20.484,0.006,-0.997,-0.081"
点202,NA,Point,"4717.068,-78.844,21.779,0.006,-0.997,-0.072"
点203,NA,Point,"4571.262,-75.786,-28.681,0.006,-0.997,-0.083"
点204,NA,Point,"4544.438,-78.159,-1.025,0.006,-0.997,-0.077"
点205,NA,Point,"4556.379,-79.865,22.896,0.006,-0.997,-0.071"
点206,NA,Point,"4387.443,-77.666,-19.122,0.006,-0.997,-0.080"
点207,NA,Point,"4386.651,-80.759,21.537,0.006,-0.997,-0.072"
点208,NA,Point,"4284.924,-79.837,0.894,0.006,-0.997,-0.075"
点209,NA,Point,"4219.584,-78.769,-17.849,0.006,-0.997,-0.079"
点210,NA,Point,"4238.804,-81.734,23.059,0.006,-0.997,-0.071"
点211,NA,Point,"4056.325,-79.684,-18.587,0.006,-0.997,-0.079"
点212,NA,Point,"4065.614,-82.458,18.941,0.006,-0.997,-0.071"
点213,NA,Point,"3986.463,-81.838,4.067,0.006,-0.997,-0.075"
点214,NA,Point,"3882.480,-80.519,-21.149,0.006,-0.997,-0.079"
点215,NA,Point,"3905.733,-83.482,20.135,0.006,-0.998,-0.070"
点216,NA,Point,"3726.311,-81.765,-17.121,0.006,-0.997,-0.078"
点217,NA,Point,"3725.787,-84.451,18.898,0.006,-0.997,-0.072"
点218,NA,Point,"3640.455,-83.592,0.138,0.006,-0.997,-0.074"
点219,NA,Point,"3522.328,-81.909,-21.228,0.006,-0.997,-0.077"
点220,NA,Point,"3528.206,-84.936,19.990,0.006,-0.997,-0.070"
点221,NA,Point,"3364.920,-82.814,-21.680,0.006,-0.997,-0.077"
点222,NA,Point,"3388.783,-85.844,21.227,0.006,-0.998,-0.070"
点223,NA,Point,"3306.540,-85.118,4.270,0.006,-0.997,-0.073"
点224,NA,Point,"3204.335,-83.174,-29.330,0.006,-0.997,-0.078"
点225,NA,Point,"3230.188,-86.782,21.281,0.006,-0.998,-0.070"
点226,NA,Point,"3166.317,-85.379,-3.490,0.006,-0.997,-0.073"
点227,NA,Point,"3065.674,-84.693,-20.502,0.006,-0.997,-0.076"
点228,NA,Point,"3095.226,-87.779,24.181,0.006,-0.998,-0.068"
点229,NA,Point,"2914.967,-85.513,-21.575,0.006,-0.997,-0.076"
点230,NA,Point,"2924.847,-88.711,23.124,0.006,-0.998,-0.069"
点231,NA,Point,"2849.135,-87.317,-2.801,0.006,-0.997,-0.071"
点232,NA,Point,"2767.614,-86.530,-19.823,0.006,-0.997,-0.075"
点233,NA,Point,"2777.244,-89.532,22.348,0.006,-0.998,-0.069"
点234,NA,Point,"2630.435,-87.277,-20.873,0.006,-0.997,-0.075"
点235,NA,Point,"2644.905,-90.193,20.504,0.006,-0.998,-0.069"
点236,NA,Point,"2556.482,-89.424,2.113,0.006,-0.997,-0.071"
点237,NA,Point,"2478.560,-88.162,-21.419,0.006,-0.997,-0.075"
点238,NA,Point,"2487.124,-91.282,22.521,0.006,-0.998,-0.068"
点239,NA,Point,"2353.302,-89.038,-20.086,0.006,-0.997,-0.073"
点240,NA,Point,"2361.119,-92.056,22.530,0.006,-0.998,-0.068"
点241,NA,Point,"2294.127,-90.886,-0.086,0.006,-0.997,-0.072"
点242,NA,Point,"2210.203,-89.047,-21.977,0.006,-0.997,-0.077"
点243,NA,Point,"2219.384,-92.156,22.018,0.006,-0.998,-0.067"
点244,NA,Point,"2048.770,-90.174,-20.905,0.006,-0.997,-0.077"
点245,NA,Point,"2055.667,-93.136,20.954,0.006,-0.998,-0.067"
点246,NA,Point,"1971.122,-92.258,0.521,0.007,-0.998,-0.070"
点247,NA,Point,"1883.122,-91.246,-21.269,0.007,-0.997,-0.076"
点248,NA,Point,"1891.590,-94.303,22.178,0.007,-0.998,-0.067"
点249,NA,Point,"1725.873,-91.646,-30.260,0.007,-0.997,-0.076"
点250,NA,Point,"1713.894,-95.518,22.123,0.007,-0.998,-0.067"
点251,NA,Point,"1674.288,-93.850,-5.434,0.007,-0.997,-0.073"
点252,NA,Point,"1576.747,-93.342,-21.824,0.007,-0.997,-0.075"
点253,NA,Point,"1585.349,-96.490,23.075,0.007,-0.998,-0.067"
点254,NA,Point,"1428.351,-94.520,-20.548,0.007,-0.997,-0.074"
点255,NA,Point,"1441.387,-97.743,26.205,0.007,-0.998,-0.067"
点256,NA,Point,"1352.946,-97.071,6.918,0.007,-0.997,-0.070"
点257,NA,Point,"1259.316,-95.850,-19.746,0.008,-0.997,-0.074"
点258,NA,Point,"1277.196,-99.442,33.222,0.008,-0.998,-0.067"
点259,NA,Point,"1089.291,-95.914,-36.400,0.008,-0.997,-0.077"
点260,NA,Point,"1106.478,-98.573,1.384,0.008,-0.998,-0.070"
点261,NA,Point,"1124.797,-100.867,37.030,0.008,-0.998,-0.065"
点262,NA,Point,"982.101,-97.926,-21.094,0.008,-0.997,-0.074"
点263,NA,Point,"1007.421,-101.691,35.454,0.008,-0.998,-0.065"
点264,NA,Point,"831.475,-99.129,-21.414,0.008,-0.997,-0.074"
点265,NA,Point,"839.595,-102.922,33.534,0.008,-0.998,-0.067"
点266,NA,Point,"752.024,-101.634,4.091,0.008,-0.998,-0.070"
点267,NA,Point,"668.453,-100.756,-17.825,0.008,-0.997,-0.074"
点268,NA,Point,"690.034,-104.389,36.916,0.008,-0.998,-0.065"
点269,NA,Point,"546.031,-101.602,-20.553,0.009,-0.997,-0.073"
点270,NA,Point,"549.196,-105.437,34.648,0.009,-0.998,-0.066"
点271,NA,Point,"479.121,-104.186,7.292,0.009,-0.998,-0.070"
点272,NA,Point,"402.607,-102.881,-20.179,0.009,-0.997,-0.073"
点273,NA,Point,"432.138,-106.544,36.024,0.009,-0.998,-0.066"
点274,NA,Point,"288.008,-103.828,-21.176,0.009,-0.997,-0.073"
点275,NA,Point,"300.007,-107.857,38.215,0.009,-0.998,-0.065"
点276,NA,Point,"252.431,-103.804,-25.217,-0.005,-0.998,-0.067"
点277,NA,Point,"230.054,-107.458,45.819,-0.016,-0.999,-0.051"
点278,NA,Point,"162.786,-102.726,-19.707,-0.016,-0.998,-0.061"
